Id,Victimas,Hora,Lugar,Calle,Longitud,Latitud,Acusado,Año,Mes,Dia,Rol,Victima,Sexo,Edad,Barrio,nombre_comuna,url_imagen
2018-0071,1,17,AVENIDA,MORENO,-58.36726348,-34.61099738,CARGAS,2018,7,10,CONDUCTOR,MOTO,MASCULINO,42,Puerto Madero,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2018-0072,1,13,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,-58.48267426,-34.68454456,CARGAS,2018,7,11,CONDUCTOR,MOTO,MASCULINO,27,Villa Lugano,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0073,1,15,AVENIDA,"IRIARTE, GRAL. AV.",-58.39546165,-34.65168841,CARGAS,2018,7,11,PEATON,PEATON,FEMENINO,67,Barracas,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/933c5a6cacdc4d8ea65936883b34aea87cc4f116.png?itok=ikhU7v1I
2018-0074,1,6,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",-58.46941984,-34.63376545,CARGAS,2018,7,14,CONDUCTOR,AUTO,MASCULINO,25,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2018-0075,1,7,AVENIDA,DEL LIBERTADOR AV.,-58.40367321,-34.58129246,AUTO,2018,7,15,PEATON,PEATON,MASCULINO,23,Palermo,Palermo,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/ca366bf451ac079e3a7e9479fd854338865b2f02.png?itok=B0SZn039
2018-0076,1,9,CALLE,"CHAVEZ, JORGE",-58.52932872,-34.65014993,CARGAS,2018,7,16,CONDUCTOR,AUTO,MASCULINO,73,Liniers,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0077,1,23,CALLE,"URQUIZA, GRAL.",-58.40917826,-34.62126274,CARGAS,2018,7,16,CONDUCTOR,AUTO,MASCULINO,58,San Cristóbal,Balvanera y San Cristóbal,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/343b351e40c4a323fab3ddaf8f1c2828d34c87ef.png?itok=ZqZpI3g5
2018-0078,1,6,CALLE,PARAGUAY,-58.41264127,-34.59473294,AUTO,2018,7,21,PEATON,PEATON,MASCULINO,27,Recoleta,Recoleta,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/609abc7877e72f37a531d1552ffcdc9ea9ed021e.png?itok=MMw0rcj6
2018-0079,1,7,GRAL PAZ,DE LOS CORRALES AV.,-58.50877521,-34.66977709,CARGAS,2018,7,23,PEATON,PEATON,MASCULINO,42,Mataderos,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0080,1,22,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",-58.51232237,-34.65903530,AUTO,2018,7,25,PEATON,PEATON,MASCULINO,26,Naon,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
